time, gyroscope.X, gyroscope.Y, gyroscope.Z, accelerometer.X, accelerometer.Y, accelerometer.Z, magnetometer.X, magnetometer.Y, magnetometer.Z 
0,-0.9375,-1.25,0.875,0.019043,-0.052246,0.97803,0.20996,0.03125,-0.44873
0.0039062,-0.9375,-1.25,0.875,0.019043,-0.052246,0.97803,0.20996,0.03125,-0.44873
0.0078125,-0.9375,-1.875,0.25,0.019043,-0.067871,0.99756,0.20996,0.03125,-0.44873
0.011719,-1.3125,-2,0.125,0.026855,-0.032715,0.98975,0.21484,0.041016,-0.45361
0.015625,-1.75,-2.125,0,0.003418,-0.032715,0.99365,0.21484,0.041016,-0.45361
0.019531,-1.5625,-2.3125,-0.1875,0,-0.0092773,1.0205,0.21484,0.041016,-0.45361
0.023438,-1.25,-2.1875,-0.0625,-0.0039062,-0.028809,1.0205,0.21484,0.041016,-0.45361
0.027344,-1,-1.9375,-0.0625,0.01123,-0.032715,1.0015,0.21484,0.041016,-0.45361
0.03125,-0.8125,-1.6875,0.0625,-0.0078125,-0.044434,1.0093,0.21484,0.041016,-0.45361
0.035156,-0.625,-1.3125,0,0.015137,-0.032715,1.0015,0.21484,0.041016,-0.45361
0.039062,-0.875,-1.0625,0.375,0.0073242,-0.032715,0.98193,0.2124,0.038574,-0.43848
0.042969,-0.8125,-0.625,0.4375,0.003418,-0.024902,1.0054,0.2124,0.038574,-0.43848
0.046875,-1.1875,-0.625,0.625,-0.0039062,-0.056152,1.0127,0.2124,0.038574,-0.43848
0.050781,-1.4375,-0.6875,0.625,0.022949,-0.040527,1.0093,0.20508,0.03125,-0.43848
0.054688,-1.625,-1.0625,0.8125,0,-0.052246,0.98584,0.20508,0.03125,-0.43848
0.058594,-1.625,-1,0.6875,0.030762,-0.040527,0.99365,0.20508,0.03125,-0.43848
0.0625,-2,-0.875,0.625,0.019043,-0.060059,0.98975,0.20508,0.03125,-0.43848
0.066406,-2.6875,-1.1875,0.625,0.019043,-0.044434,1.0054,0.20996,0.038574,-0.44141
0.070312,-2.875,-1.3125,0.625,0.022949,-0.060059,1.0093,0.20996,0.038574,-0.44141
0.074219,-3.125,-1.375,0.875,0.0073242,-0.032715,1.0015,0.20996,0.038574,-0.44141
0.078125,-2.875,-1.9375,0.75,0.026855,-0.067871,1.0054,0.20215,0.025879,-0.44385
0.082031,-2.75,-2.375,0.5625,0.035156,-0.060059,0.97412,0.20215,0.025879,-0.44385
0.085938,-2.5,-2.75,0.75,0.022949,-0.044434,0.98584,0.20215,0.025879,-0.44385
0.089844,-2.25,-3.125,0.8125,0.01123,-0.052246,1.0054,0.20215,0.025879,-0.44385
0.09375,-2.125,-3,1.0625,-0.0039062,-0.052246,1.0015,0.20215,0.025879,-0.44385
0.097656,-2.0625,-2.5,1.1875,0.022949,-0.052246,1.0054,0.20215,0.025879,-0.44385
0.10156,-2.125,-2.3125,1.4375,0.003418,-0.052246,1.0015,0.20215,0.025879,-0.44385
0.10547,-2.125,-2,1.1875,0.019043,-0.04834,1.0015,0.21484,0.036133,-0.44629
0.10938,-2.125,-1.5625,0.75,0.01123,-0.036621,1.0054,0.21484,0.036133,-0.44629
0.11328,-1.625,-1.3125,0.3125,0.003418,-0.056152,0.98584,0.21484,0.036133,-0.44629
0.11719,-1.3125,-0.625,0.125,0.015137,-0.028809,0.97412,0.2124,0.03125,-0.43604
0.12109,-1.625,-0.5625,0.0625,0.019043,-0.040527,1.0015,0.2124,0.03125,-0.43604
0.125,-1.3125,-0.375,-0.375,-0.0078125,-0.044434,1.0015,0.2124,0.03125,-0.43604
0.12891,-1.5,0.125,-0.125,0.003418,-0.056152,0.99365,0.2124,0.03125,-0.43604
0.13281,-1.5625,0.25,-0.375,0.01123,-0.060059,0.99365,0.20215,0.020996,-0.44385
0.13672,-1.6875,0.3125,-0.3125,0.003418,-0.04834,1.0015,0.20215,0.020996,-0.44385
0.14062,-2,0.5625,-0.375,0,-0.063965,1.0166,0.20215,0.020996,-0.44385
0.14453,-2.25,0.625,0,0,-0.056152,0.98193,0.20508,0.038574,-0.44629
0.14844,-2.3125,1.125,0.4375,-0.0039062,-0.04834,1.0054,0.20508,0.038574,-0.44629
0.15234,-2,1,0.625,0.01123,-0.060059,0.98975,0.20508,0.038574,-0.44629
0.15625,-1.625,0.9375,0.75,0.01123,-0.052246,1.0015,0.21484,0.03125,-0.44141
0.16016,-1.25,0.75,0.75,0.030762,-0.056152,0.97803,0.21484,0.03125,-0.44141
0.16406,-1.125,0.0625,0.4375,0.022949,-0.052246,0.98193,0.21484,0.03125,-0.44141
0.16797,-1.25,-0.25,0.8125,0.019043,-0.036621,1.0015,0.21484,0.03125,-0.44141
0.17188,-1.3125,-1.125,0.8125,0.035156,-0.060059,0.99756,0.20215,0.025879,-0.44629
0.17578,-1.4375,-1.1875,0.75,0.015137,-0.056152,0.99365,0.20215,0.025879,-0.44629
0.17969,-1.75,-1.8125,0.8125,0.019043,-0.067871,0.98975,0.20215,0.025879,-0.44629
0.18359,-2,-2.125,0.875,0.022949,-0.036621,0.98193,0.20508,0.020996,-0.45117
0.1875,-2.125,-2.0625,0.8125,0.022949,-0.052246,1.0054,0.20508,0.020996,-0.45117
0.19141,-1.75,-1.8125,0.75,0.01123,-0.032715,1.0015,0.20508,0.020996,-0.45117
0.19531,-1.375,-1.6875,0.5625,0.019043,-0.063965,1.0127,0.20508,0.020996,-0.45117
0.19922,-0.8125,-1.75,0.0625,0.019043,-0.052246,0.98193,0.20508,0.020996,-0.45117
0.20312,-0.3125,-1.5625,0.125,0.003418,-0.032715,0.98975,0.20508,0.020996,-0.45117
0.20703,-0.3125,-1,0,0.019043,-0.032715,1.0015,0.20508,0.020996,-0.45117
0.21094,-0.0625,-0.6875,0.25,0.019043,-0.052246,1.0093,0.21777,0.038574,-0.44629
0.21484,0,-0.0625,0.125,0.01123,-0.056152,1.0205,0.21777,0.038574,-0.44629
0.21875,-0.75,0,0.0625,0.022949,-0.067871,0.98584,0.21777,0.038574,-0.44629
0.22266,-1.5,0.4375,-0.0625,0.019043,-0.060059,1.0127,0.2124,0.033691,-0.44873
0.22656,-1.75,0.375,-0.125,0.026855,-0.040527,1.0127,0.2124,0.033691,-0.44873
0.23047,-1.8125,0.3125,-0.5625,0.022949,-0.020996,1.0054,0.2124,0.033691,-0.44873
0.23438,-1.6875,0.5625,-0.375,0.026855,-0.060059,1.0015,0.2124,0.033691,-0.44873
0.23828,-2,0.25,-0.75,0.030762,-0.052246,0.99365,0.20508,0.043457,-0.43604
0.24219,-2.4375,0.125,-1,0.030762,-0.056152,1.0054,0.20508,0.043457,-0.43604
0.24609,-2.25,-0.1875,-1.375,0.01123,-0.056152,0.98584,0.20508,0.043457,-0.43604
0.25,-1.4375,-0.1875,-1.5,-0.012207,-0.063965,0.98975,0.20215,0.043457,-0.44873
0.25391,-1.3125,-0.6875,-1.6875,0.019043,-0.056152,0.97412,0.20215,0.043457,-0.44873
